date,Unnamed: 0,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction,vix,dxy
2025-04-23 16:00:00,37,3286.31,3291.35,3270.45,3281.19,156,0.0020175607020622,-0.0014476455188513,0.0135804388042142,0.0115842118255875,0.0166281135807435,upward,,,,,28.45,123.0252
2025-04-23 17:00:00,38,3280.82,3304.11,3279.34,3296.6,154,-0.0046745131347448,-0.0026663835466844,0.004747315415883,0.007456166959898,0.0214948735060365,range,,,,,28.45,123.0252
2025-04-23 18:00:00,39,3295.72,3300.23,3278.25,3281.24,153,0.0046811571235265,-1.523814167803117e-05,-0.0014628616011019,0.0109988906632858,0.0296198997939802,upward,91.0,-1.0,-1.0,-1.0,28.45,123.0252
2025-04-23 19:00:00,40,3280.93,3286.27,3277.9,3282.46,150,-0.0003716724651634,0.0043077448011552,0.0016298751546095,0.0144160172553511,0.0219560939051808,upward,,,,,28.45,123.0252
2025-04-23 20:00:00,41,3282.69,3296.56,3282.46,3293.18,148,-0.0032552122872117,-0.0036256748795996,-0.0036408577727302,0.0098901365853065,0.0138255424847715,upward,,,,,28.45,123.0252
2025-04-23 21:00:00,42,3293.15,3295.18,3284.4,3287.84,155,0.0016241666261131,-0.0016363326682563,0.0026643632293541,0.0074243272178693,0.0176377195970605,upward,,,,,28.45,123.0252
2025-04-23 22:00:00,43,3287.84,3287.84,3287.84,3287.84,1,0.0,0.0016241666261131,-0.0020073969536231,-0.0034673220108034,0.0094225996398851,upward,,,,,28.45,123.0252
2025-04-23 23:00:00,44,3294.23,3315.53,3288.07,3308.76,159,-0.0063226102830062,-0.0063226102830062,-0.007948597057508,-0.0063316771237563,-0.0021851086207521,upward,,,,,28.45,123.0252
2025-04-24 00:00:00,45,3308.52,3316.38,3308.0,3315.57,170,-0.0020539454754385,-0.0083635694616611,-0.0067529866659429,-0.0103692577746813,0.0010948343723702,upward,85.0,-1.0,-1.0,-1.0,26.47,122.9251
2025-04-24 01:00:00,46,3313.55,3337.99,3313.31,3331.72,151,-0.0048473461155198,-0.0068913354063365,-0.0131703744612391,-0.0105411018933163,-0.0031635311490761,range,,,,,26.47,122.9251
2025-04-24 02:00:00,47,3336.32,3365.42,3332.8,3357.17,148,-0.0075807897723381,-0.0123913891760023,-0.0206513223935635,-0.0226172639455256,-0.0118671380954792,downward,,,,,26.47,122.9251
2025-04-24 03:00:00,48,3358.92,3362.51,3336.25,3342.01,153,0.0045361922914652,-0.0030789854010012,-0.0099491024862283,-0.0178186181369894,-0.0036594743881676,downward,,,,,26.47,122.9251
2025-04-24 04:00:00,49,3341.71,3342.81,3321.46,3327.15,160,0.0044662849585981,0.0090227371774642,-0.0034804562463369,-0.0102099394376569,-0.0004207805479163,range,,,,,26.47,122.9251
2025-04-24 05:00:00,50,3328.2,3330.55,3325.7,3325.75,158,0.000420957678719,0.004889122754266,0.0017950838156806,-0.0113989325716002,-0.0040592347590768,range,82.0,1.0,1.0,-1.0,26.47,122.9251
2025-04-24 06:00:00,51,3325.3,3334.49,3321.96,3323.52,158,0.0006709753514346,0.0010922154823802,0.010124807433083,-0.0107356056229539,-0.0141657038320816,range,91.0,1.0,-1.0,-1.0,26.47,122.9251
2025-04-24 07:00:00,52,3320.56,3327.55,3315.13,3323.05,149,0.0001414363310814,0.0008125065828079,0.0057056017814958,-0.0043002663216021,-0.010604715547464,range,86.0,1.0,-1.0,-1.0,26.47,122.9251
2025-04-24 08:00:00,53,3325.34,3338.51,3323.96,3333.27,151,-0.0030660582551067,-0.0029250555760559,-0.0018360348846627,-0.0053101008919168,-0.0156242968616403,range,86.0,1.0,1.0,-1.0,26.47,122.9251
2025-04-24 09:00:00,54,3333.12,3340.48,3327.74,3335.47,154,-0.0006595772110077,-0.0037236131639617,-0.0029141320413613,-0.001124279336945,-0.011653530087214,range,93.0,-1.0,1.0,1.0,26.47,122.9251
2025-04-24 10:00:00,55,3336.34,3341.06,3325.93,3335.6,151,-3.89734980213996e-05,-0.0006985250029979,-0.0036215373545988,0.0064666027101571,-0.016296918095695,range,97.0,1.0,1.0,1.0,26.47,122.9251
2025-04-24 11:00:00,56,3336.14,3336.14,3326.6,3329.31,151,0.0018892803613961,0.0018502332315104,-0.0018802694852686,0.0038146042273023,-0.0140719848857571,range,89.0,-1.0,-1.0,1.0,26.47,122.9251
2025-04-24 12:00:00,57,3329.71,3342.79,3326.74,3336.16,154,-0.0020532588365066,-0.0001678576567071,-0.0008662654069349,-0.0027007097980911,-0.0128830751522708,range,95.0,1.0,-1.0,1.0,26.47,122.9251
2025-04-24 13:00:00,58,3338.02,3343.42,3335.84,3336.2,155,-1.198968886750862e-05,-0.0020652239074395,-0.0002188118218332,-0.0031323062166536,-0.0144955338408967,range,96.0,1.0,-1.0,1.0,26.47,122.9251
2025-04-24 14:00:00,59,3334.35,3336.2,3313.43,3315.02,155,0.0063891017248765,0.0063770354326671,0.0062081073417354,0.0025640870944971,-0.0081990455562861,upward,98.0,1.0,-1.0,1.0,26.47,122.9251
2025-04-24 15:00:00,60,3313.74,3329.01,3307.35,3327.31,150,-0.0036936744697668,0.0026718279931836,0.0006010861626959,-0.0012803135265423,-0.0055750741590052,upward,99.0,1.0,1.0,1.0,26.47,122.9251
2025-04-24 16:00:00,61,3326.41,3330.22,3319.68,3329.07,151,-0.0005286761768302,-0.0042203978888999,0.0021297239168895,0.0012616136037992,-0.0040551865836404,upward,99.0,1.0,1.0,1.0,26.47,122.9251
